Id,Signatory,Language,Order,Action_Id,Climate_Hazard
72926,Autonomous Community of the Basque Country,en,6,6,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,6,6,Other coastal events
72926,Autonomous Community of the Basque Country,en,7,7,Soil degradation/erosion
72926,Autonomous Community of the Basque Country,en,7,7,Storm
72926,Autonomous Community of the Basque Country,en,7,7,Biodiversity loss
72926,Autonomous Community of the Basque Country,en,7,7,Fire weather (risk of wildfires)
72926,Autonomous Community of the Basque Country,en,7,7,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,7,7,River flooding
72926,Autonomous Community of the Basque Country,en,7,7,Mass movement
72926,Autonomous Community of the Basque Country,en,7,7,Extreme heat
72926,Autonomous Community of the Basque Country,en,7,7,Heat stress
72926,Autonomous Community of the Basque Country,en,7,7,Heavy precipitation
72926,Autonomous Community of the Basque Country,en,7,7,Other forms of climate-induced landscape shift/degradation
72926,Autonomous Community of the Basque Country,en,7,7,Loss of green space/green cover
72926,Autonomous Community of the Basque Country,en,7,7,Drought
72926,Autonomous Community of the Basque Country,en,8,8,Storm
72926,Autonomous Community of the Basque Country,en,8,8,River flooding
72926,Autonomous Community of the Basque Country,en,8,8,Heavy precipitation
72926,Autonomous Community of the Basque Country,en,9,9,Biodiversity loss
72926,Autonomous Community of the Basque Country,en,9,9,Soil degradation/erosion
72926,Autonomous Community of the Basque Country,en,9,9,Urban flooding
72926,Autonomous Community of the Basque Country,en,9,9,River flooding
72926,Autonomous Community of the Basque Country,en,9,9,Mass movement
72926,Autonomous Community of the Basque Country,en,9,9,Water stress
72926,Autonomous Community of the Basque Country,en,9,9,Infectious disease
72926,Autonomous Community of the Basque Country,en,9,9,Heavy precipitation
72926,Autonomous Community of the Basque Country,en,9,9,Increased water demand
72926,Autonomous Community of the Basque Country,en,9,9,Other coastal events
72926,Autonomous Community of the Basque Country,en,9,9,Extreme heat
72926,Autonomous Community of the Basque Country,en,9,9,Storm
72926,Autonomous Community of the Basque Country,en,9,9,Fire weather (risk of wildfires)
72926,Autonomous Community of the Basque Country,en,9,9,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,9,9,Heat stress
72926,Autonomous Community of the Basque Country,en,9,9,Extreme wind
72926,Autonomous Community of the Basque Country,en,9,9,Loss of green space/green cover
72926,Autonomous Community of the Basque Country,en,9,9,Drought
72926,Autonomous Community of the Basque Country,en,10,10,Urban flooding
72926,Autonomous Community of the Basque Country,en,10,10,Coastal flooding (incl. sea level rise)
72926,Autonomous Community of the Basque Country,en,10,10,River flooding
72926,Autonomous Community of the Basque Country,en,10,10,Other coastal events
73075,Brittany Region,en,1,1,Biodiversity loss
73075,Brittany Region,en,1,1,Urban flooding
73075,Brittany Region,en,1,1,Coastal flooding (incl. sea level rise)
73075,Brittany Region,en,1,1,River flooding
73075,Brittany Region,en,1,1,Fire weather (risk of wildfires)
73075,Brittany Region,en,1,1,Water stress
73075,Brittany Region,en,1,1,Heat stress
73075,Brittany Region,en,1,1,Heavy precipitation
73075,Brittany Region,en,1,1,Increased water demand
73075,Brittany Region,en,1,1,Extreme wind
73075,Brittany Region,en,1,1,Other coastal events
73075,Brittany Region,en,1,1,Extreme heat
73075,Brittany Region,en,1,1,Drought
44076,Bursa Metropolitan Municipality,en,2,2,Action does not address hazard
44076,Bursa Metropolitan Municipality,en,3,3,Extreme heat
44076,Bursa Metropolitan Municipality,en,4,4,Heavy precipitation
44076,Bursa Metropolitan Municipality,en,4,4,Extreme heat
54419,City and Metropolitan Municipality of Strasbourg,en,2,2,Urban flooding
54419,City and Metropolitan Municipality of Strasbourg,en,2,2,Extreme heat
54419,City and Metropolitan Municipality of Strasbourg,en,3,3,Drought
31175,City of Paris,en,16,16,River flooding
31175,City of Paris,en,17,17,Action does not address hazard
31175,City of Paris,en,18,18,Heat stress
31175,City of Paris,en,18,18,Extreme heat
31175,City of Paris,en,19,19,Water stress
31175,City of Paris,en,19,19,Heat stress
31175,City of Paris,en,19,19,Extreme heat
31175,City of Paris,en,20,20,Urban flooding
31175,City of Paris,en,20,20,River flooding
31175,City of Paris,en,20,20,Heavy precipitation
31175,City of Paris,en,21,21,Heat stress
31175,City of Paris,en,21,21,Extreme heat
31175,City of Paris,en,22,22,Biodiversity loss
31175,City of Paris,en,22,22,Extreme wind
31175,City of Paris,en,22,22,Extreme heat
31175,City of Paris,en,22,22,Drought
31175,City of Paris,en,23,23,Biodiversity loss
31175,City of Paris,en,23,23,Heavy precipitation
31175,City of Paris,en,23,23,Extreme heat
31175,City of Paris,en,23,23,Drought
31175,City of Paris,en,24,24,Heat stress
31175,City of Paris,en,24,24,Heavy precipitation
31175,City of Paris,en,24,24,Extreme heat
31175,City of Paris,en,25,25,Heat stress
31175,City of Paris,en,25,25,Extreme heat
31175,City of Paris,en,26,26,Extreme heat
31175,City of Paris,en,27,27,Water stress
31175,City of Paris,en,28,28,Water stress
31175,City of Paris,en,28,28,Heat stress
31175,City of Paris,en,28,28,Extreme heat
46514,City of Porto,en,1,1,Storm
46514,City of Porto,en,1,1,Coastal flooding (incl. sea level rise)
46514,City of Porto,en,1,1,Other coastal events
46514,City of Porto,en,2,2,Storm
46514,City of Porto,en,2,2,Mass movement
46514,City of Porto,en,3,3,Storm
46514,City of Porto,en,3,3,Urban flooding
46514,City of Porto,en,3,3,River flooding
46514,City of Porto,en,3,3,Mass movement
46514,City of Porto,en,4,4,Urban flooding
46514,City of Porto,en,4,4,Extreme heat
46514,City of Porto,en,4,4,Drought
46514,City of Porto,en,5,5,Extreme heat
46514,City of Porto,en,5,5,Drought
46514,City of Porto,en,6,6,Storm
46514,City of Porto,en,6,6,Urban flooding
46514,City of Porto,en,6,6,Mass movement
46514,City of Porto,en,6,6,Drought
46514,City of Porto,en,7,7,Extreme heat
46514,City of Porto,en,7,7,Drought
46514,City of Porto,en,8,8,Storm
46514,City of Porto,en,8,8,Urban flooding
46514,City of Porto,en,8,8,Extreme cold
46514,City of Porto,en,8,8,Extreme heat
46514,City of Porto,en,8,8,Drought
46514,City of Porto,en,9,9,Storm
46514,City of Porto,en,9,9,Urban flooding
46514,City of Porto,en,9,9,Extreme cold
46514,City of Porto,en,9,9,River flooding
