Id,Language,Signatory,Climate_Action_Plan_Id,Sector
31163,en,Istanbul Metropolitan Municipality,2,"Electricity, gas, steam and air conditioning supply"
31163,en,Istanbul Metropolitan Municipality,2,Accommodation and food service activities
31163,en,Istanbul Metropolitan Municipality,2,Manufacturing
31163,en,Istanbul Metropolitan Municipality,3,"Sewerage, wastewater management and remediation activities"
31163,en,Istanbul Metropolitan Municipality,3,Waste management
31163,en,Istanbul Metropolitan Municipality,3,Agriculture
31163,en,Istanbul Metropolitan Municipality,3,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,3,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,3,Water supply
31163,en,Istanbul Metropolitan Municipality,3,"Electricity, gas, steam and air conditioning supply"
31163,en,Istanbul Metropolitan Municipality,4,Waste management
31163,en,Istanbul Metropolitan Municipality,6,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,7,"Sewerage, wastewater management and remediation activities"
31163,en,Istanbul Metropolitan Municipality,7,Financial and insurance activities
31163,en,Istanbul Metropolitan Municipality,7,Administrative and support service activities
31163,en,Istanbul Metropolitan Municipality,7,Waste management
31163,en,Istanbul Metropolitan Municipality,7,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,7,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,7,Water supply
31163,en,Istanbul Metropolitan Municipality,7,"Electricity, gas, steam and air conditioning supply"
31163,en,Istanbul Metropolitan Municipality,7,Accommodation and food service activities
31163,en,Istanbul Metropolitan Municipality,8,Financial and insurance activities
31163,en,Istanbul Metropolitan Municipality,8,Administrative and support service activities
31163,en,Istanbul Metropolitan Municipality,8,Education
31163,en,Istanbul Metropolitan Municipality,8,Agriculture
31163,en,Istanbul Metropolitan Municipality,8,"Wholesale and retail trade, repair of motor vehicles and motorcycles"
31163,en,Istanbul Metropolitan Municipality,8,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,8,"Arts, entertainment and recreation"
31163,en,Istanbul Metropolitan Municipality,8,Water supply
31163,en,Istanbul Metropolitan Municipality,8,Forestry
31163,en,Istanbul Metropolitan Municipality,8,Accommodation and food service activities
31163,en,Istanbul Metropolitan Municipality,8,Manufacturing
31163,en,Istanbul Metropolitan Municipality,8,"Public administration and defence, compulsory social security"
31163,en,Istanbul Metropolitan Municipality,8,"Sewerage, wastewater management and remediation activities"
31163,en,Istanbul Metropolitan Municipality,8,Construction
31163,en,Istanbul Metropolitan Municipality,8,Information and communication
31163,en,Istanbul Metropolitan Municipality,8,Waste management
31163,en,Istanbul Metropolitan Municipality,8,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,8,"Professional, scientific and technical activities"
31163,en,Istanbul Metropolitan Municipality,8,"Electricity, gas, steam and air conditioning supply"
31163,en,Istanbul Metropolitan Municipality,9,Financial and insurance activities
31163,en,Istanbul Metropolitan Municipality,9,Waste management
31163,en,Istanbul Metropolitan Municipality,9,Human health and social work activities
31163,en,Istanbul Metropolitan Municipality,9,Transportation and storage
31163,en,Istanbul Metropolitan Municipality,9,"Arts, entertainment and recreation"
31163,en,Istanbul Metropolitan Municipality,9,Water supply
31163,en,Istanbul Metropolitan Municipality,9,Accommodation and food service activities
31163,en,Istanbul Metropolitan Municipality,9,Conservation
60125,en,Klaipėda City Municipality,1,Construction
60125,en,Klaipėda City Municipality,1,Information and communication
60125,en,Klaipėda City Municipality,1,Administrative and support service activities
60125,en,Klaipėda City Municipality,1,Education
60125,en,Klaipėda City Municipality,1,Human health and social work activities
60125,en,Klaipėda City Municipality,1,Transportation and storage
60125,en,Klaipėda City Municipality,1,Real estate activities
826425,en,Municipality of Caldas da Rainha,1,"Other, please specify"
50680,en,Municipality of Cascais,1,Agriculture
50680,en,Municipality of Cascais,1,Transportation and storage
50680,en,Municipality of Cascais,1,Water supply
50680,en,Municipality of Cascais,1,"Electricity, gas, steam and air conditioning supply"
50680,en,Municipality of Cascais,1,Forestry
50680,en,Municipality of Cascais,1,"Public administration and defence, compulsory social security"
62171,en,Metropolitan Municipality of Rouen,1,Construction
62171,en,Metropolitan Municipality of Rouen,1,Information and communication
62171,en,Metropolitan Municipality of Rouen,1,Administrative and support service activities
62171,en,Metropolitan Municipality of Rouen,1,Waste management
62171,en,Metropolitan Municipality of Rouen,1,Education
62171,en,Metropolitan Municipality of Rouen,1,Agriculture
62171,en,Metropolitan Municipality of Rouen,1,Transportation and storage
62171,en,Metropolitan Municipality of Rouen,1,Water supply
62171,en,Metropolitan Municipality of Rouen,1,Forestry
62171,en,Metropolitan Municipality of Rouen,1,"Electricity, gas, steam and air conditioning supply"
55334,en,Municipality of Braga,1,"Sewerage, wastewater management and remediation activities"
55334,en,Municipality of Braga,1,Construction
55334,en,Municipality of Braga,1,Information and communication
55334,en,Municipality of Braga,1,Financial and insurance activities
55334,en,Municipality of Braga,1,Waste management
55334,en,Municipality of Braga,1,Agriculture
55334,en,Municipality of Braga,1,Human health and social work activities
55334,en,Municipality of Braga,1,Transportation and storage
55334,en,Municipality of Braga,1,Water supply
55334,en,Municipality of Braga,1,"Electricity, gas, steam and air conditioning supply"
55334,en,Municipality of Braga,1,Manufacturing
55334,en,Municipality of Braga,1,Conservation
55334,en,Municipality of Braga,1,"Public administration and defence, compulsory social security"
50680,en,Municipality of Cascais,2,Information and communication
50680,en,Municipality of Cascais,2,Education
